date,vw_index
20120207,4215.695
20120208,4222.741
20120209,4223.693
20120210,4188.546
20120213,4216.951
20120214,4208.162
20120215,4191.367
20120216,4241.276
20120217,4252.477
20120221,4253.411
20120222,4241.707
20120223,4263.175
20120224,4268.638
20120227,4272.957
20120228,4279.775
20120229,4258.147
20120301,4286.512
20120302,4264.947
20120305,4251.532
20120306,4172.481
20120307,4204.532
20120308,4248.981
20120309,4266.306
20120312,4261.643
20120313,4336.867
20120314,4315.136
20120315,4345.358
20120316,4353.663
20120319,4366.793
20120320,4343.828
20120321,4336.896
20120322,4296.314
20120323,4318.836
20120326,4374.798
20120327,4354.544
20120328,4330.101
20120329,4323.258
20120330,4343.947
20120402,4377.465
20120403,4355.007
20120404,4307.916
20120405,4297.602
20120409,4246.76
20120410,4168.351
20120411,4204.542
20120412,4271.603
20120413,4220.821
20120416,4228.29
20120417,4288.104
20120418,4270.569
20120419,4255.248
20120420,4266.84
20120423,4226.303
20120424,4248.417
20120425,4295.361
20120426,4324.766
20120427,4338.915
20120430,4324.109
20120501,4350.587
20120502,4334.626
20120503,4293.093
20120504,4233.426
20120507,4235.783
20120508,4211.82
20120509,4182.859
20120510,4199.517
20120511,4184.512
20120514,4131.529
20120515,4102.806
20120516,4085.307
20120517,4024.68
20120518,3995.995
20120521,4059.26
20120522,4061.731
20120523,4072.316
20120524,4082.97
20120525,4074.987
20120529,4120.935
20120530,4050.049
20120531,4043.669
20120601,3945.392
20120604,3934.171
20120605,3967.047
20120606,4057.61
20120607,4056.689
20120608,4083.463
20120611,4029.6
20120612,4076.409
20120613,4049.172
20120614,4092.795
20120615,4131.348
20120618,4132.862
20120619,4181.792
20120620,4173.118
20120621,4076.07
20120622,4100.641
20120625,4040.349
20120626,4059.541
20120627,4099.081
20120628,4099.466
20120629,4199.371
20120702,4212.776
20120703,4250.548
20120705,4227.635
20120706,4189.714
20120709,4179.295
20120710,4143.76
20120711,4148.486
20120712,4131.327
20120713,4196.366
20120716,4187.427
20120717,4218.815
20120718,4239.661
20120719,4244.295
20120720,4206.131
20120723,4166.651
20120724,4127.359
20120725,4134.325
20120726,4202.952
20120727,4279.59
20120730,4280.097
20120731,4254.631
20120801,4238.472
20120802,4202.047
20120803,4282.482
20120806,4292.295
20120807,4317.438
20120808,4320.547
20120809,4325.388
20120810,4335.423
20120813,4324.099
20120814,4326.113
20120815,4335.833
20120816,4366.627
20120817,4375.852
20120820,4371.869
20120821,4360.78
20120822,4356.318
20120823,4321.559
20120824,4346.801
20120827,4342.159
20120828,4341.982
20120829,4346.089
20120830,4315.729
20120831,4339.869
20120904,4339.878
20120905,4338.593
20120906,4422.491
20120907,4453.818
20120910,4434.944
20120911,4454.768
20120912,4465.521
20120913,4537.568
20120914,4561.455
20120917,4536.081
20120918,4525.086
20120919,4531.254
20120920,4522.75
20120921,4523.615
20120924,4513.874
20120925,4468.526
20120926,4446.902
20120927,4486.415
20120928,4469.78
20121001,4487.128
20121002,4490.534
20121003,4499.526
20121004,4538.918
20121005,4545.065
20121008,4535.045
20121009,4497.234
20121010,4469.662
20121011,4480.747
20121012,4462.648
20121015,4497.636
20121016,4540.004
20121017,4569.674
20121018,4568.32
20121019,4504.562
20121022,4499.616
20121023,4435.082
20121024,4423.164
20121025,4440.883
20121026,4431.159
20121031,4450.218
20121101,4496.991
20121102,4456.242
20121105,4461.217
20121106,4502.328
20121107,4408.222
20121108,4359.116
20121109,4360.505
20121112,4359.775
20121113,4343.77
20121114,4276.13
20121115,4264.496
20121116,4291.402
20121119,4371.661
20121120,4377.198
20121121,4391.125
20121123,4446.106
20121126,4431.218
20121127,4409.217
20121128,4442.834
20121129,4464.748
20121130,4467.593
20121203,4445.514
20121204,4440.006
